checkpoint,group,episode,offset,frame_idx,goal_score_std
epoch1,treechop,90,0.0,200566,0.04993313178420067
epoch1,treechop,90,0.1,200824,0.00527324341237545
epoch1,treechop,90,0.25,201211,0.012083420529961586
epoch1,treechop,90,0.5,201856,0.03321272134780884
epoch1,treechop,92,0.0,206034,0.0320579819381237
epoch1,treechop,92,0.1,206344,0.0034180942457169294
epoch1,treechop,92,0.25,206808,0.013748575001955032
epoch1,treechop,92,0.5,207582,0.003538775723427534
epoch1,treechop,96,0.0,214618,0.047653280198574066
epoch1,treechop,96,0.1,214816,0.01092617865651846
epoch1,treechop,96,0.25,215114,0.0052462476305663586
epoch1,treechop,96,0.5,215610,0.006059572566300631
epoch1,treechop,116,0.0,259771,0.0058527179062366486
epoch1,treechop,116,0.1,259931,0.03473363444209099
epoch1,treechop,116,0.25,260172,0.016015250235795975
epoch1,treechop,116,0.5,260573,0.0010834697168320417
epoch1,treechop,118,0.0,263031,3.652851592050865e-05
epoch1,treechop,118,0.1,263169,0.0037164578679949045
epoch1,treechop,118,0.25,263375,0.005128968507051468
epoch1,treechop,118,0.5,263720,0.005172864533960819
epoch1,treechop,122,0.0,269372,6.210202991496772e-05
epoch1,treechop,122,0.1,269551,0.006647845264524221
epoch1,treechop,122,0.25,269818,0.0031040781177580357
epoch1,treechop,122,0.5,270265,0.00017237316933460534
epoch1,treechop,124,0.0,273100,0.0003856357070617378
epoch1,treechop,124,0.1,273257,0.007408441975712776
epoch1,treechop,124,0.25,273493,0.008331330493092537
epoch1,treechop,124,0.5,273886,0.013121557421982288
epoch1,treechop,125,0.0,274673,0.04257386922836304
epoch1,treechop,125,0.1,274823,0.011271397583186626
epoch1,treechop,125,0.25,275049,0.008172095753252506
epoch1,treechop,125,0.5,275425,0.004263258073478937
epoch1,treechop,134,0.0,289660,3.592742359614931e-05
epoch1,treechop,134,0.1,289843,0.01371139194816351
epoch1,treechop,134,0.25,290117,0.0016226269071921706
epoch1,treechop,134,0.5,290574,0.00447824178263545
epoch1,treechop,135,0.0,291490,0.006255768239498138
epoch1,treechop,135,0.1,291679,0.020258361473679543
epoch1,treechop,135,0.25,291962,0.0027842684648931026
epoch1,treechop,135,0.5,292434,0.002662407699972391
epoch1,treechop,138,0.0,296663,0.04778903350234032
epoch1,treechop,138,0.1,296858,0.018567683175206184
epoch1,treechop,138,0.25,297150,0.011061100289225578
epoch1,treechop,138,0.5,297637,0.0067539336159825325
epoch1,treechop,145,0.0,311140,0.024165621027350426
epoch1,treechop,145,0.1,311307,0.009447374381124973
epoch1,treechop,145,0.25,311557,0.0007705824100412428
epoch1,treechop,145,0.5,311974,0.020727822557091713
epoch1,treechop,149,0.0,323333,0.03293471410870552
epoch1,treechop,149,0.1,323572,0.008368606679141521
epoch1,treechop,149,0.25,323930,0.0016559920040890574
epoch1,treechop,149,0.5,324527,0.002051324350759387
epoch1,treechop,154,0.0,333986,0.007137002889066935
epoch1,treechop,154,0.1,334138,0.013612774200737476
epoch1,treechop,154,0.25,334366,0.002899115439504385
epoch1,treechop,154,0.5,334745,0.002388737630099058
epoch1,treechop,156,0.0,337454,0.04814324155449867
epoch1,treechop,156,0.1,337649,0.021124597638845444
epoch1,treechop,156,0.25,337942,0.0046297525987029076
epoch1,treechop,156,0.5,338429,0.004623121581971645
epoch1,treechop,158,0.0,341211,0.014897031709551811
epoch1,treechop,158,0.1,341562,0.023665854707360268
epoch1,treechop,158,0.25,342088,0.014872541651129723
epoch1,treechop,158,0.5,342965,0.0029681327287107706
epoch1,treechop,170,0.0,364588,0.022068116813898087
epoch1,treechop,170,0.1,364739,0.005588371306657791
epoch1,treechop,170,0.25,364966,0.0019577054772526026
epoch1,treechop,170,0.5,365344,0.0024428777396678925
epoch1,treechop,176,0.0,375082,0.03209516778588295
epoch1,treechop,176,0.1,375305,0.0029708438087254763
epoch1,treechop,176,0.25,375639,0.007484620437026024
epoch1,treechop,176,0.5,376196,0.020363247022032738
epoch1,treechop,185,0.0,393144,0.031164292246103287
epoch1,treechop,185,0.1,393300,0.0015446336474269629
epoch1,treechop,185,0.25,393535,0.00022399578301701695
epoch1,treechop,185,0.5,393926,0.0010355616686865687
epoch1,treechop,187,0.0,396784,0.029196633026003838
epoch1,treechop,187,0.1,397110,0.005113531369715929
epoch1,treechop,187,0.25,397598,0.0207719374448061
epoch1,treechop,187,0.5,398412,0.018632370978593826
epoch1,treechop,188,0.0,400041,0.03174212574958801
epoch1,treechop,188,0.1,400420,0.008165141567587852
epoch1,treechop,188,0.25,400987,0.012638261541724205
epoch1,treechop,188,0.5,401934,0.010425775311887264
epoch1,treechop,190,0.0,405912,0.02837352268397808
epoch1,treechop,190,0.1,406123,0.026514122262597084
epoch1,treechop,190,0.25,406440,0.00966423749923706
epoch1,treechop,190,0.5,406969,0.005090062506496906
epoch1,treechop,194,0.0,415139,0.031710390001535416
epoch1,treechop,194,0.1,415344,0.002796080196276307
epoch1,treechop,194,0.25,415651,0.005987769458442926
epoch1,treechop,194,0.5,416163,0.00783447828143835
epoch1,obtain_spawn,ep001_1784633250670,0.0,0,0.007359400391578674
epoch1,obtain_spawn,ep001_1784633396270,0.0,0,0.001320177922025323
epoch1,obtain_spawn,ep001_1784633525602,0.0,0,0.002572182100266218
epoch1,obtain_spawn,ep001_1784647041967,0.0,0,0.0008182829478755593
epoch1,obtain_spawn,ep001_1784647176868,0.0,0,0.0031124018132686615
epoch1,obtain_spawn,ep001_1784647301681,0.0,0,0.008194305934011936
epoch1,obtain_spawn,ep001_1784647444573,0.0,0,0.00227722292765975
epoch1,obtain_spawn,ep001_1784647592008,0.0,0,0.031830791383981705
epoch1,obtain_spawn,ep001_1784647708743,0.0,0,0.013375476002693176
epoch1,obtain_spawn,ep001_1784647828624,0.0,0,0.0030032037757337093
epoch1,obtain_spawn,ep001_1784647943879,0.0,0,0.005551559384912252
epoch1,obtain_coverage,0,0.0,0,0.004485649988055229
epoch1,obtain_coverage,0,0.1,40,0.019381018355488777
epoch1,obtain_coverage,0,0.25,100,0.005222708452492952
epoch1,obtain_coverage,0,0.5,200,0.00034182853414677083
epoch1,obtain_coverage,1,0.0,400,0.0017768824473023415
epoch1,obtain_coverage,1,0.1,440,0.00687261950224638
epoch1,obtain_coverage,1,0.25,500,0.002301802858710289
epoch1,obtain_coverage,1,0.5,600,0.00218833121471107
epoch1,obtain_coverage,2,0.0,800,0.036763280630111694
epoch1,obtain_coverage,2,0.1,840,0.002623463748022914
epoch1,obtain_coverage,2,0.25,900,0.006372964475303888
epoch1,obtain_coverage,2,0.5,1000,0.0005014353664591908
epoch1,obtain_coverage,3,0.0,1200,0.03027077205479145
epoch1,obtain_coverage,3,0.1,1240,0.0016093043377622962
epoch1,obtain_coverage,3,0.25,1300,0.011849950067698956
epoch1,obtain_coverage,3,0.5,1400,8.808742131805047e-05
epoch1,obtain_coverage,4,0.0,1600,0.011922863312065601
epoch1,obtain_coverage,4,0.1,1640,0.002121100202202797
epoch1,obtain_coverage,4,0.25,1700,0.004733135923743248
epoch1,obtain_coverage,4,0.5,1800,0.005601761396974325
epoch1,obtain_coverage,5,0.0,2000,0.0024054376408457756
epoch1,obtain_coverage,5,0.1,2040,0.002415686147287488
epoch1,obtain_coverage,5,0.25,2100,0.0019347488414496183
epoch1,obtain_coverage,5,0.5,2200,0.008983711712062359
epoch1,obtain_coverage,6,0.0,2400,0.013892428018152714
epoch1,obtain_coverage,6,0.1,2440,0.01724492572247982
epoch1,obtain_coverage,6,0.25,2500,0.02211146429181099
epoch1,obtain_coverage,6,0.5,2600,0.0038753494154661894
epoch1,obtain_coverage,7,0.0,2800,0.005726176779717207
epoch1,obtain_coverage,7,0.1,2840,0.0071017080917954445
epoch1,obtain_coverage,7,0.25,2900,0.009367896243929863
epoch1,obtain_coverage,7,0.5,3000,0.020004495978355408
