group,episode,offset,frame_idx,mahalanobis
obtain_coverage,15,0.25,6100,8.396739
obtain_coverage,15,0.5,6200,5.995196
obtain_coverage,16,0.0,6400,6.973127
obtain_coverage,16,0.1,6440,5.674191
obtain_coverage,16,0.25,6500,7.059628
obtain_coverage,16,0.5,6600,8.871795
obtain_coverage,17,0.0,6800,6.775830
obtain_coverage,17,0.1,6840,9.041401
obtain_coverage,17,0.25,6900,8.361212
obtain_coverage,17,0.5,7000,6.799653
obtain_coverage,18,0.0,7200,9.846522
obtain_coverage,18,0.1,7240,7.474875
obtain_coverage,18,0.25,7300,12.035706
obtain_coverage,18,0.5,7400,10.367023
obtain_coverage,19,0.0,7600,6.729632
obtain_coverage,19,0.1,7640,9.860519
obtain_coverage,19,0.25,7700,9.742695
obtain_coverage,19,0.5,7800,10.436016
